Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume
2019-10-03,2.0134,2.0338,1.88,1.9442,7013380.23,2019-10-03 23:59:59.999000064,13738006.095326,32086,3397526.67,6657260.052059
2019-10-04,1.9443,1.9949,1.888,1.9663,3422137.61,2019-10-04 23:59:59.999000064,6616268.435621,17892,1702976.87,3296473.063094
2019-10-05,1.9663,1.9775,1.9113,1.9624,2233660.2,2019-10-05 23:59:59.999000064,4352706.761247,12252,1033689.11,2016050.438973
2019-10-06,1.9624,2.2659,1.9531,2.1669,9778198.66,2019-10-06 23:59:59.999000064,20769400.456857,47092,4896720.53,10391495.836794
2019-10-07,2.1669,2.4899,2.0971,2.3963,12795782.67,2019-10-07 23:59:59.999000064,29801791.519983,62512,6150961.95,14318905.136249
2019-10-08,2.3963,2.65,2.268,2.5765,16096459.09,2019-10-08 23:59:59.999000064,39941066.734364,80741,8096624.09,20137734.89726
2019-10-09,2.577,2.95,2.501,2.8011,21792384.08,2019-10-09 23:59:59.999000064,59920511.493088,113313,10840540.61,29803036.490031
2019-10-10,2.7977,2.8058,2.465,2.6279,15341951.1,2019-10-10 23:59:59.999000064,40234731.695434,78819,7202406.89,18907871.570782
2019-10-11,2.6293,2.7936,2.5619,2.7481,11417701.51,2019-10-11 23:59:59.999000064,30788011.386101,60458,5588653.09,15087389.751832
2019-10-12,2.7443,2.7572,2.5519,2.5975,6182391.51,2019-10-12 23:59:59.999000064,16335299.928878,34477,2842358.15,7512557.714627
2019-10-13,2.5975,2.6443,2.4351,2.486,5534063.18,2019-10-13 23:59:59.999000064,14028108.107929,27207,2552678.19,6471025.058744
2019-10-14,2.485,2.6741,2.4527,2.5324,5833573.38,2019-10-14 23:59:59.999000064,14946710.649806,29915,2891037.3,7410103.91888
2019-10-15,2.5315,2.597,2.332,2.3974,6236112.72,2019-10-15 23:59:59.999000064,15365785.895973,31702,2863330.56,7061328.656279
2019-10-16,2.3949,2.4143,2.182,2.3717,11864805.05,2019-10-16 23:59:59.999000064,27206709.268527,51766,5680911.36,13033396.008732
2019-10-17,2.3736,2.49,2.274,2.4124,10565628.71,2019-10-17 23:59:59.999000064,25329634.625496,44977,5010314.79,12008980.987838
2019-10-18,2.419,2.4999,2.3164,2.3546,7264838.28,2019-10-18 23:59:59.999000064,17402268.009348,34363,3514126.88,8430915.005328
2019-10-19,2.3521,2.391,2.2914,2.3521,4513732.32,2019-10-19 23:59:59.999000064,10576298.587082,19706,2251998.06,5280421.364882
2019-10-20,2.3513,2.451,2.278,2.4444,4491335.27,2019-10-20 23:59:59.999000064,10590364.059115,22436,2199727.26,5187252.382804
2019-10-21,2.4443,2.69,2.4347,2.6223,11337672.86,2019-10-21 23:59:59.999000064,29229981.871716,52727,5689914.04,14675400.252358
2019-10-22,2.6216,2.8178,2.5619,2.6074,11209530.78,2019-10-22 23:59:59.999000064,30378844.911824,57438,5451834.63,14786688.504261
2019-10-23,2.6073,2.684,2.3717,2.6055,14101549.77,2019-10-23 23:59:59.999000064,35925377.402288,69350,6849031.37,17462441.709779
2019-10-24,2.6071,2.7748,2.602,2.72,9751557.57,2019-10-24 23:59:59.999000064,26208747.16147,55785,4744626.32,12758762.395673
2019-10-25,2.7201,3.0063,2.6165,2.8374,14004511.97,2019-10-25 23:59:59.999000064,39183456.515066,69140,6779953.94,18971313.85345
2019-10-26,2.8374,2.9977,2.664,2.7348,13344088.09,2019-10-26 23:59:59.999000064,37577155.6897,71109,6723304.22,18976574.721146
2019-10-27,2.7323,2.762,2.6511,2.6646,5974202.16,2019-10-27 23:59:59.999000064,16107491.701176,37703,2631056.32,7101797.503152
2019-10-28,2.6707,2.8859,2.66,2.6611,7839146.77,2019-10-28 23:59:59.999000064,21718242.279411,46631,3790370.6,10526385.803748
2019-10-29,2.6601,2.769,2.6321,2.662,3559236.65,2019-10-29 23:59:59.999000064,9594968.284065,23066,1641616.89,4431427.867948
2019-10-30,2.661,2.6768,2.5107,2.6093,3975481.96,2019-10-30 23:59:59.999000064,10291062.33242,25034,1791603.9,4641121.889774
2019-10-31,2.6044,2.7573,2.5365,2.7219,4136829.05,2019-10-31 23:59:59.999000064,10990946.465983,26574,2027231.0,5387374.21247
2019-11-01,2.7233,2.7952,2.6428,2.7091,3786813.42,2019-11-01 23:59:59.999000064,10249112.158616,23310,1975377.72,5351245.723528
2019-11-02,2.7092,2.7399,2.6828,2.6973,1945703.47,2019-11-02 23:59:59.999000064,5268003.218848,12497,943697.53,2556137.179359
2019-11-03,2.7015,2.7104,2.6202,2.6605,1676754.85,2019-11-03 23:59:59.999000064,4469114.694315,11434,742581.28,1979902.097166
2019-11-04,2.6594,2.73,2.6267,2.6746,2315985.74,2019-11-04 23:59:59.999000064,6212035.895785,16273,1149596.3,3086557.538062
